CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000782,HENRY'S DONUTS - MUK,10924 MUKILTEO SPEEDWAY,MUKILTEO,WA,98275-5051,USA,,,,,,,,,
1000784,COLLECTIONS BEAVERTO,12375 SW BROADWAY ST,BEAVERTON,OR,97005-2184,USA,,,,,,,,,
1000786,MOSTLY MUFFINS,22330 68TH AVE S,KENT,WA,98032-1948,USA,,,,,,,,,
1000790,SCHWARTZ BROS BAKERY,1010 SW 34TH ST,RENTON,WA,98057-4813,USA,,,,,,,,,
1000791,PIROSHKY - PIROSHKY,1908 PIKE PL,SEATTLE,WA,98101-1013,USA,,,,,,,,,
1000792,COLLECTIONS UPPER CR,41 B AVE,LAKE OSWEGO,OR,97034-3130,USA,,,,,,,,,
1000793,CINNAMON WORKS,1530 PIKE PL,SEATTLE,WA,98101-1527,USA,,,,,,,,,
1000795,FACTORY DONUT,12505 NE 144TH ST,KIRKLAND,WA,98034-1532,USA,,,,,,,,,
1000798,ENER G FOODS INC,5960 1ST AVE S,SEATTLE,WA,98108-3248,USA,,,,,,,,,
1000801,LAFEEN FAMILY PRIDE,1466 ELECTRIC AVE,BELLINGHAM,WA,98229-2482,USA,,,,,,,,,
1000803,MARSEE FOODS INC,9100 N VANCOUVER AVE,PORTLAND,OR,97217-7560,USA,,,,,,,,,
1000804,COLLECTIONS OLD MILL,15708 PALATINE AVE N,SHORELINE,WA,98133-5918,USA,,,,,,,,,
1000805,SCOTTY'S JUICETREE I,14026 SE 238TH LN,KENT,WA,98042-3835,USA,,,,,,,,,
1000806,CREATIVE CAKE DESIGN,17674 SE 301ST ST,KENT,WA,98042-5715,USA,,,,,,,,,
1000810,LE DONUT - AUBURN,3840 A ST SE,AUBURN,WA,98002-3856,USA,,,,,,,,,
1000813,COEUR D'ALENE,6701 S 216TH ST,KENT,WA,98032-1389,USA,,,,,,,,,
1000814,GOLDEN CROWN BAKERY,12310 HIGHWAY 99,EVERETT,WA,98204-8033,USA,,,,,,,,,
1000815,OOSTERWYK'S DUTCH BA,1513 3RD ST,MARYSVILLE,WA,98270-5001,USA,,,,,,,,,
1000816,COOKIES IN BLOOM,11 103RD AVE NE,BELLEVUE,WA,98004-4965,USA,,,,,,,,,
1000819,WESTERNCO DONUTS - L,11916 PACIFIC HWY SW,TACOMA,WA,98499-1034,USA,,,,,,,,,
1000820,MEE SUM PASTRY,5901 22ND AVE S,SEATTLE,WA,98108-2942,USA,,,,,,,,,
1000822,PASCO CORP OF AMERIC,6500 N MARINE DR,PORTLAND,OR,97203-6484,USA,,,,,,,,,
1000823,PAO'S DONUT & MUFFIN,6919 6TH AVE,TACOMA,WA,98406-1705,USA,,,,,,,,,
